artista,oyentes,reproducciones,bio_resumen,pais
Joaquín Sabina,231870,7438578,"Joaquín Ramón Martínez Sabina (Úbeda, Jaén, Spain, 12 February 1949), known artistically as Joaquín Sabina, is a singer - songwriter, and poet. He has released fourteen studio albums, two live albums, and three compilation albums. He has collaborated and composed songs for Ana Belén and Miguel Ríos amongst others.

Joaquín Sabina, is the second son of Adela Sabina del Campo and Jerónimo Martinez Gallego, which was a policeman. He attended <a href=""https://www.last.fm/music/+noredirect/Joaqu%C3%ADn+Sabina"">Read more on Last.fm</a>",
Los Incomparables De Tijuana,13277,88900,"A Norteño Group Formed in Tijuana México in 1984 and similar to Los Tucanes De Tijuana <a href=""https://www.last.fm/music/Los+Incomparables+De+Tijuana"">Read more on Last.fm</a>",
LUISITO MUÑOZ,4458,40482,biografia no encontrada,
Julieta Venegas,771261,19578941,"Julieta Venegas (born November 24, 1970) is a successful Mexican singer and songwriter of Latin music. She was born in Long Beach, California, but raised in Tijuana, Baja California and has a twin sister Yvonne who is a photographer. She was a former member of the band ""Tijuana No"". Julieta plays numerous instruments including acoustic guitar, accordion, and keyboard. She won the 2004 Latin Grammy for Best Vocal Rock Album (Sí).
Albums. She is radicated in Mexico City <a href=""https://www.last.fm/music/Julieta+Venegas"">Read more on Last.fm</a>",Mexico
Beto Quintanilla,31943,476522,"Norberto ""Beto"" Quintanilla Iracheta (May 23, 1948 – March 18, 2007) was a Regional Mexican singer and songwriter. He was known as ""El Mero León del Corrido"" (The Lion of the Corrido)

Biography:
Beto Quintanilla was originally from General Terán, a small town in Nuevo León. The date of his birth is unknown, but was some time around 1948. As a child, Quintanilla composed poems or odes to his mother, his teacher, his school, and his country. He <a href=""https://www.last.fm/music/Beto+Quintanilla"">Read more on Last.fm</a>",Mexico
Clave Cubana,693,3981,biografia no encontrada,
La Mosca,75882,464821,"Si bien la formación actual del grupo se consolida en marzo de 1995, la historia de la banda se remonta a comienzos de los noventa con ""La Reggae & Roll Band"", quienes hacían covers y algunos temas propios en la zona de Ramallo. Simultáneamente existían otras bandas entre las que se destacaba ""Damas gratis"" liderada por Guillermo Novellis.
Tras la disolución de ""Damas gratis"", Fernando Castro, que era el baterista y uno de los fundadores (de La Reggae)  <a href=""https://www.last.fm/music/+noredirect/La+Mosca"">Read more on Last.fm</a>",
Polo Montañez,50260,346448,"Polo Montañez (June 5, 1955 - November 26, 2002) was a Cuban singer and songwriter
Montañez was born Fernando Borrego Linares in Sierra del Rosario, Pinar del Río, in a farm known as El Brujito. At an early age he worked various jobs including driving a tractor, milking cows, making coal, assisting on the family farm, and as a lumberjack. In his spare time, Montañez would go from house to house singing and later began to sing in local parties and family gatherings. <a href=""https://www.last.fm/music/+noredirect/Polo+Monta%C3%B1ez"">Read more on Last.fm</a>",Cuba
Beny Moré,138009,818679,"Beny Moré (sometimes Benny Moré, Benny More or Beny More) (August 24, 1919 – February 19, 1963) is considered by many fans of Cuban music as the greatest Cuban singer of all time.
He was gifted with an innate musicality and fluid tenor voice which he colored and phrased with great expressivity. Moré was a master of all the genres of Cuban music, including son montuno, mambo, guaracha, guajira, cha cha cha, afro, canción, guaguancó, and bolero. <a href=""https://www.last.fm/music/+noredirect/Beny+Mor%C3%A9"">Read more on Last.fm</a>",Cuba
Tranzas,79371,600246,"Tranzas is an Ecuatorian music band. <a href=""https://www.last.fm/music/Tranzas"">Read more on Last.fm</a>",
