Artista,Género,Tipo,Nombre,Año,ID
Greg Brown,blues,track,Blue Car,2000.0,3gIRDIOGmLc1WBhlcv35O5
James Intveld,blues,track,Love Calls,2000.0,3x5EuJxLpjk0vIV5iMpd1i
Murali Coryell,blues,track,Softly Let Me Kiss Your Lips,2000.0,5cDIbJtehjhImG8eytKwGw
Joe Bonamassa,blues,track,"Miss You, Hate You",2000.0,270fcAQl6cPF3S3ZQiPNon
Sean Costello,blues,track,Double Trouble,2000.0,0DeGKiRiCK6Hv8ivuojSdH
The White Stripes,blues,track,Death Letter,2000.0,78ZPgT0agDUG95ByxpTNBP
Freddie King,blues,track,Five Long Years - Remastered,2000.0,56cQKq9cveZtNl2c284ttH
Freddie King,blues,track,Me And My Guitar,2000.0,0QpxUzXEI3ZjJeo6dDFgV7
Joe Bonamassa,blues,track,A New Day Yesterday,2000.0,1vm3dobPEhe6ZVhhbtiaWO
Johnny & The Jailbirds,blues,track,Roll On (Clickety Clack),2000.0,3Lez3vHWLiqZkfUZjbstXz
Peter Green Splinter Group,blues,track,I'm A Steady Rollin' Man - Studio,2000.0,2695otTpDzVxoWa0BDZmoD
Chris Smither,blues,track,Link Of Chain,2000.0,16N2lpCidTNYdNq2YZhE98
Mark Selby,blues,track,You're Gonna Miss My Love,2000.0,0jZJc4oCRBBHvzK3cd4342
Chris Smither,blues,track,I Am The Ride,2000.0,5DFNZIBtwTmcEjZNuovJQ9
Jimmy Rogers,blues,track,You're Sweet,2000.0,1yvTGo5neAri7tdlc0zhOf
Coco Montoya,blues,track,"Good Days, Bad Days",2000.0,66YScT9ixRBmW6wFoYjQJj
Blue Stew,blues,track,Bringing Home The Blues,2000.0,3DmVpgHrFO7VNAC3RHXe6Y
Lonnie Brooks,blues,track,Two Guitars Shuffle - Take 2,2000.0,46uYtQlZwFZ1RdJYRblEwM
Lucky Lloyd,blues,track,I Feel The Pain,2000.0,2xO8Qjuf11PmyDG367E7qC
Eric Clapton,blues,track,Days of Old,2000.0,0FSYTwx4rU8zXbDotK08MN
The White Stripes,blues,track,Little Bird,2000.0,7uYoO8Jt7BUib2teUpLFLZ
Eddy Wilsons Blues Band,blues,track,I Just Can't Wait No More,2000.0,2xLbcLVaPhswWtf8rkBa51
Gomez,blues,track,Machismo,2000.0,53YV9igWx2KDJDaByNru3S
Eric Clapton,blues,track,I Wanna Be,2000.0,2JfEpNSiHz7X0lT3RlcUuL
Calvin Russell,blues,track,That Woudn't Be Enough,2000.0,546IGaq08nvVxVSMUQta82
George Thorogood & The Destroyers,blues,track,If You Don't Start Drinkin' (I'm Gonna Leave),2000.0,1XV97m6mzheMHFbF9XlnMP
R.L. Burnside,blues,track,Bad Luck City,2000.0,1n9PUTUa3NkYqkUHQ11rwm
Mark Selby,blues,track,Kink In The Chain,2000.0,0FSwHcnyYV4MQeJNGLWqn9
Blues Company,blues,track,My Little Angel,2000.0,7pl3bhnRrfYEcw0kg5cHjv
Chris Thomas King,blues,track,Hard Time Killing Floor Blues,2000.0,3rlPaBlRjyNKHzJsvKV6dP
Solomon Burke,blues,track,Proud Mary,2000.0,1DoB9qQAEHwV9s5BWofgUm
Deborah Coleman,blues,track,I'm A Woman,2000.0,0HPazJXESVCimRyMggplg5
Julian Sas,blues,track,Blues for J,2000.0,7ATNFqcr0pTZuFendjxtpk
B.B. King,blues,track,How Blue Can You Get?,2000.0,1zuVsc5gf2S2Fp5achygUi
Solomon Burke,blues,track,I'll Be Doggone,2000.0,50v0EN7BuMhNTyYqA41adj
Guru,blues,track,Plenty,2000.0,6zSe7ZKNjb6Zl5AP78y5QN
The White Stripes,blues,track,Hello Operator,2000.0,7zPxIh1c3kJaNwmjdZ3GQX
Calvin Russell,blues,track,Crossroads,2000.0,06jV48CGewrRuHeVIUA4ze
Eric Clapton,blues,track,Marry You,2000.0,3izCarsX6zxJ216lnid5qR
Eric Clapton,blues,track,Worried Life Blues,2000.0,2fdhU7kBO3WVYkWJnYAlO3
Eric Clapton,blues,track,Hold On I'm Coming,2000.0,0XFJaXsCH4sSni128GpPls
Eric Clapton,blues,track,Come Rain or Come Shine,2000.0,2Z7U506Agti2s9uxP564LE
Eric Clapton,blues,track,Help the Poor,2000.0,1zdJVsBmTNavn5u2GSqWkW
Eric Clapton,blues,track,When My Heart Beats Like a Hammer,2000.0,7cBSTKsHmyjqp5euTS5yCM
Mark Selby,blues,track,Don't You Throw That Mojo On Me,2000.0,54KR62xO0Z7OF77FpcjGGo
Eric Clapton,blues,track,Ten Long Years,2000.0,2bykT1h4Tb2Scaw0QcqYBA
Etta James,blues,track,Miss You,2000.0,4JVeqfE2tpi7Pv63LJZtPh
Eric Clapton,blues,track,Three O'Clock Blues,2000.0,6lWxIJH0CyUtmFaIAeVmTQ
Eric Clapton,blues,track,Key to the Highway,2000.0,1a0CDu5jpwW2arT34HbwUP
Eric Clapton,blues,track,Riding With the King,2000.0,0U6wNkZaQUTBrCLbhbbRgS
Rascal Flatts,blues,track,I'm Movin' On,2000.0,7gpuC3rLKkI7PoJcEnSIO6
Johnny & The Jailbirds,blues,track,Rockin' the Blues Away,2000.0,1myqk2BTZIfAvGJY8C0Lrl
Mojo Blues Band,blues,track,Wee Baby Blues,2000.0,0VziYoppHx4lOJQUDOqDl1
R.L. Burnside,blues,track,Got Messed Up,2000.0,3J8D4mxkDl7YBJu0cCVbNI
Nappy Brown,blues,track,Love Locks,2000.0,0uE00jXki2CKFcIZRfCZ53
Coco Montoya,blues,track,Nothing But Love,2000.0,3uU9xb3RmfQEwbnlikdKJM
Mississippi John Hurt,blues,track,Coffee Blues,2000.0,16GdiwewBf99MhUSVsxUBe
Joe Bonamassa,blues,track,Colour and Shape,2000.0,4vWeqYSux6JHbcRDBknsRa
Sonny Rollins,blues,track,Sonnymoon For Two,2000.0,58auzrd6rwCLuWleG4bCAy
James Intveld,blues,track,Modern Don Juan,2000.0,1iufJsYASeY1I57AosUBhC
Wes Montgomery,blues,track,D-Natural Blues,2000.0,5fxPh44pYzAR5M5KW5SdMk
John Littlejohn,blues,track,Sweet Little Angel,2000.0,0eNlLMGiQcQRcUClHYiicl
Tadg Galleran,blues,track,Stagger Lee,2000.0,0pZHA4QJjCl1n4EFkpuepb
Chris Smither,blues,track,No Love Today,2000.0,6KmJfZCd5f4P11vuglbIrN
Chris Smither,blues,track,Slow Surprise,2000.0,4AVuDNWohEaQQZJ3fSt9M8
Mississippi John Hurt,blues,track,Pay Day,2000.0,29Q6NQ4WsPYTsZ8nhdAhfo
Steve Vaus,blues,track,Everybody Told Me,2000.0,3vAU4lGghbyWGYqFQFPxCB
Joe Bonamassa,blues,track,If Heartaches Were Nickels,2000.0,017d9sEiXW5QsPhlFOE7TG
La Mississippi,blues,track,Un Poco Mas,2000.0,3nM4VFUnGA9rT3Smk1WFJ0
Jools Holland,blues,track,I'm In The Mood For Love,2000.0,1K2mskoYmN2Z05e6colFcr
Joe Bonamassa,blues,track,Head Aches to Heart Breaks,2000.0,20XTWISYlgsJ0b35cKB1TO
B.B. King,blues,track,I Like To Live The Love,2000.0,65k1tfjXmOYbc3aLB3wliS
Dr. John,blues,track,Solitude,2000.0,1ViGgioq3zeIkA9B95j0Wo
Walter Trout and The Free Radicals,blues,track,Let Me Know - Live,2000.0,6VfK8MlwXtfKZEGCpE1OLk
Mark Selby,blues,track,Smoked,2000.0,4syOaApfBfZeTIv5XcP584
Johnny & The Jailbirds,blues,track,Too Much,2000.0,6REZePiAWXdIk1sYvUChal
Jimmy Thackery And The Drivers,blues,track,Chained To The Blues Line,2000.0,4Bv1m8dBj1E94sxBfPlN7x
Johnny & The Jailbirds,blues,track,Shake It Up,2000.0,4xYkTCChNbbNigOSSSc9vt
Julian Sas,blues,track,Working Man's Blues,2000.0,7hDksuyOEN9trOQm7QyU0T
Lonnie Brooks,blues,track,Sweet Home Chicago,2000.0,6IIngEBJRQQumwt1MA3Y6y
Peter Green Splinter Group,blues,track,Sweet Home Chicago - Studio,2000.0,0znXZlsMDXLiTeK1IoG0XD
Mark Selby,blues,track,What Am I Doin',2000.0,6CDjI2pTAxgGe7GSfppPi1
Denise LaSalle,blues,track,Trapped By a Thing Called Love,2000.0,6T3TfV8M5drXuQ35TgdGVL
The Robert Cray Band,blues,track,Love Gone to Waste,2000.0,0tMr3kcYlbktwHdfpBZmL0
Blues Company,blues,track,Run Your Finger Through My Hair,2000.0,0TEsHUsXothgvoHyZlx6wO
Calvin Russell,blues,track,Where the Blues Get Born,2000.0,1auCKIkY3Doo3me3WRI36z
Chris Smither,blues,track,Killing the Blues,2000.0,76CtO0Xm5paZVEVRxoG9rz
Freddie King,blues,track,Going Down - Remastered 2000,2000.0,0JmzkCi9xu32A1idZ6ROBX
Joe Dassin,blues,track,Si Tu Me Extranas (Si Tu Penses A Moi)-(Now Woman No Cry) - Version Espagnole,2000.0,6gzjxUXZ1LW82onjWwzlEI
Nappy Brown,blues,track,"Well, Well, Well Baby LA",2000.0,26wbI9PC17C8AszrgaaxJi
Johnny & The Jailbirds,blues,track,Real Gone Rocker,2000.0,2N3xtEsA1CX7cst2zqVqlY
Big Mama Thornton,blues,track,Gonna Leave You,2000.0,1dEkRQ2ASVMTLF7Ig5Mud7
B.B. King,blues,track,I Know,2000.0,1LSC4TKKoJCbpAEsyvRmkQ
Wes Montgomery,blues,track,Four On Six,2000.0,2Mq2Fzc9HBgvsijVFdSXUl
Solomon Burke,blues,track,Uptight Good Woman,2000.0,13AUYiz7PWyjeWdJQW21wD
Ellis Hall,blues,track,Flip Flop and Fly,2000.0,4Oh9rODvqWz9kfT5FeXZqy
Julian Sas,blues,track,Blues for the Lost and Found,2000.0,2MLkhRevYCibfPpHxlIAq6
Dr. Feelgood,blues,track,You Gotta Help Me,2000.0,24LEsorak3E3tyIW0LLFpX
The White Stripes,blues,track,Truth Doesn't Make a Noise,2000.0,4cuKwDw7T3JELdePWwa3hZ
Jimmy Thackery And The Drivers,blues,track,Blues 'Fore Dawn - Instrumental,2000.0,0ddS9gxgh8EECW1wemruyi
R.L. Burnside,blues,track,Too Many Ups,2000.0,1uPvVSSe0u55thfPeNMdBI
Chris Smither,blues,track,Cave Man,2000.0,7Ev2BC5iwtLVqOFEOxkaWg
Keb' Mo',blues,track,Gimme What You Got,2000.0,0jwAYxpZTG7i7b0kJwncwQ
Wes Montgomery,blues,track,West Coast Blues,2000.0,5vooXq1F3SrYJl8TGtMsHA
Nappy Brown,blues,track,Skidy Woe,2000.0,7dQAOrvHztTE0ONRKeVr1W
The White Stripes,blues,track,Why Can't You Be Nicer to Me?,2000.0,2mcIqH8wKpaRr554Tj4tFM
Patrick Yandall,blues,track,Blues On 5th Avenue,2000.0,2AmEPE041ByXKpMuNGlfPf
Jimmy Rogers,blues,track,Gold Tailed Bird,2000.0,1SgQhS2rBcpPM41hABnSap
R.L. Burnside,blues,track,Nothin' Man,2000.0,4jiYgkhW4duSaylPxCWrLS
