artista,oyentes,reproducciones,bio_resumen
Andre Toussaint,22710,97433,"Haitian ex-patriot  André Toussaint moved to Nassau, Bahamas in the 1950s performing as a singer-guitarist for the tourist and lounge crowd. Featuring many of his own compositions along with many current calypsos of the day, Toussaint was fluent in French, Haitian Creole, Italian, and Spanish. He performed folk songs of Bahama, was an accomplished guitarist who worked with small orchestras until his death in 1981 and was considered to be one of the founding fathers of modern Bahamian music. <a href=""https://www.last.fm/music/Andre+Toussaint"">Read more on Last.fm</a>"
Morgan Heritage,239661,1939659,"Morgan Heritage is a reggae band formed by five children of famed reggae-artist Denroy Morgan. Despite their relative youth, they have been referred to as ""reggae royalty"". Having grown up in their father's music studio in the U.S. the group, then consisting of eight of the children, made their first appearance at Reggae Sunsplash in Jamaica. They were subsequently signed by MCA and released their debut album Miracles in 1994. They have since criticized Miracles as being overly pop-influenced. <a href=""https://www.last.fm/music/Morgan+Heritage"">Read more on Last.fm</a>"
Chiclete Com Banana,136792,1815571,"Chiclete com Banana is an Axé music band consisting of Bell Marques, Wadinho Marques, Rey, Waltinho Cruz and Deny. They released their first album, called ""Traz os montes"", in 1982.

Nowadays, they are one of the most successful axé music bands in Brazil. Their abadás are the most expensive on Salvador Carnival. They usually have anywhere from 200.000 to 500.000 people walking along their sound truck Trio Elétrico as it is known. <a href=""https://www.last.fm/music/Chiclete+Com+Banana"">Read more on Last.fm</a>"
King Chango,41849,290690,"Latin music is given its hardest edge by New York based band King Chango. Combining dancehall chants, deep space dub, straight up skanking and Latin rhythms, King Chango creates some of contemporary music's most intense dance music. According to Spin magazine, the band combines ""Gen-X irony with the street energy of classic salsa and a hyperactive horn section."" King Chango, which takes its name from the god of music and partying in the Afro-Cuban religion of Santeria <a href=""https://www.last.fm/music/+noredirect/King+Chango"">Read more on Last.fm</a>"
Ganja,14071,153754,"There are currently three artists with this name

1. A  Mexican Reggae Group.
Ganja is a Mexican reggae band, originally from Mexico City, who was born in late 1995 as one of the pioneering bands banda in Mexican reggae movement with Splash, Rakes, The Commune and Antidoping. It has musical influences with Salsa, Merengue, Jazz and Blues, but has always been distinguished for its reggae. He participated in the last four editions of Razteca Festival, the largest reggae in the country. <a href=""https://www.last.fm/music/Ganja"">Read more on Last.fm</a>"
Jah Spirit,528,1473,biografia no encontrada
Leroy Sibbles,24903,110067,"Leroy Sibbles (born January 29, 1949) is a reggae musician from Jamaica. He was the lead singer for The Heptones in the 1960s and 1970s.

In addition to his work with The Heptones, Sibbles was a session bassist and arranger at Clement 'Coxsone' Dodd's Jamaica Recording and Publishing Studio and the associated Studio One label during the prolific late 1960s.


The Heptones

Sibbles and Heptones' co-founders Barry Llewellyn and Earl Morgan met in the mid 1960s, around the time Sibbles' first group auditioned for Duke Reid's Treasure Isle studio. <a href=""https://www.last.fm/music/Leroy+Sibbles"">Read more on Last.fm</a>"
Freddie McGregor,198041,1261558,"Freddie McGregor was born on June 27, 1956 in Clarendon, Jamaica. He is a singer, musician and producer.

McGregor's career began at the age of seven. In 1963 he joined with Ernest Wilson and Peter Austin to form The Clarendonians, and began to record for the legendary Studio One label. Freddie worked with producer Niney The Observer during the late 1970s and early 1980s.

His popularity soared in the early 1980s with the release of ""Bobby Bobylon"". <a href=""https://www.last.fm/music/Freddie+McGregor"">Read more on Last.fm</a>"
Prince Jazzbo,64460,295522,"Linval Roy Carter (September 3, 1951–September 11, 2013), better known as Prince Jazzbo, was a Jamaican reggae and dancehall deejay and producer.

Born in Clarendon, Jamaica, Carter began recording with Coxsone Dodd's Studio One label in the early 1970s under the name Prince Jazzbo. He went on to work on his own releases with Bunny Lee, producing as well in collaboration with many artists as a vocalist and producer for labels including his own, Ujama. <a href=""https://www.last.fm/music/Prince+Jazzbo"">Read more on Last.fm</a>"
Groundation,352403,6569527,"1. Groundation is a Fusion-Reggae band based in Sonoma County, California. It was established in 1998 by Harrison Stafford, Ryan Newman and Marcus Urani upon their meeting at the Jazz program at Sonoma State University.  Groundation's music incorporates the lyrical struggle of Roots Reggae, the progressive musicianship of Funk/Jazz fusion, and other-worldly transcendental Dub.  

The 9-piece band creates an altogether new Reggae sound, featuring swirling horns, stout poly-rhythmics, and soulful harmony vocals. <a href=""https://www.last.fm/music/Groundation"">Read more on Last.fm</a>"
Jimmy Somerville,149500,1087006,"Jimmy Somerville (b. June 22, 1961) is a Scottish pop singer. Was a star in the 80's with Bronski Beat and The Communards as well as while working solo.

Born and raised in Glasgow with his signature falsetto singing style, he happens to also be a left-wing human rights activist.

He went solo when the Communards split up in 1988. <a href=""https://www.last.fm/music/Jimmy+Somerville"">Read more on Last.fm</a>"
Gregory Isaacs,647245,6303853,"Gregory Anthony Isaacs ⋆ 15 July 1951 in Kingston, Jamaica ⋆ 25 Oct 2010 in London UK ⋆ was a Jamaican singer and songwriter. He recorded an enormous amount of songs in the genres (regular) reggae, lovers rock, roots reggae. His nickname was the Cool Ruler. By the late 1970s, Isaacs was one of the biggest reggae performers, regularly touring the US and the UK. Well-known songs are Night Nurse, Mr Cop, My Only Lover, Tune In, and Love Is Overdue. <a href=""https://www.last.fm/music/Gregory+Isaacs"">Read more on Last.fm</a>"
Beenie Man,477348,4343799,"Anthony Moses Davis (born August 22, 1973 in Kingston, Jamaica), better known by the stage name Beenie Man, is a well established reggae artist and DJ. He was involved in the music industry from a young age when he won the Tastee Talent contest in 1981. Only one year later, when he was eight years old, he recorded a single, ""Too Fancy"", with record producer ""Junjo"" Lawes. By 1983, Beenie Man was recording with heavyweight DJs, such as Dillinger and Fathead and released his debut album <a href=""https://www.last.fm/music/Beenie+Man"">Read more on Last.fm</a>"
