artista,oyentes,reproducciones,bio_resumen,pais
W.C. Clark,9252,41127,"W.C. Clark (born Wesley Curley Clark in Austin, TX, on 16 November 1939; died 2 March 2024) was an American blues musician remembered as the ""Godfather of Austin Blues"" for his influence on the Austin, TX, blues scene since the late 1960s. 

In the late 1960s, Clark joined the Joe Tex band. After forming several bands with various names, Clark formed the W.C. Clark Blues Revue in 1975. 

“Modern Texas blues at its best…impeccable, soothing soul and flashy <a href=""https://www.last.fm/music/W.C.+Clark"">Read more on Last.fm</a>",United States
Chet Atkins,293379,3200761,"Chester Burton Atkins born 20 June 1924 - Died 30 June 2001 in Nashville, Tennessee, United States (1942–1996) . was an American guitarist and record producer. Together with Owen Bradley, Atkins created the smoother country music style known as the Nashville sound, which expanded country music's appeal to include adult pop music fans as well. His virtuoso picking style - inspired by Merle Travis, Django Reinhardt, George Barnes and Les Paul - brought him admirers both within and outside the country scene. <a href=""https://www.last.fm/music/Chet+Atkins"">Read more on Last.fm</a>",United States
Sue Foley,36605,313880,"Sue Foley (born March 29, 1968, Ottawa, Ontario, Canada) is a Canadian blues singer and guitarist. She has also recorded as Peter Karp & Sue Foley. 

Since her first album in 1992  Foley has recorded a string of albums, for both Antone's Records and Shanachie Records. She has spent many years on the road as a bandleader, lead vocalist, guitarist and manager of her own band. In addition to her own touring, she has also shared the stage with blues musicians such as Back Alley John, B. B. King, Buddy Guy and John Lee Hooker.  <a href=""https://www.last.fm/music/Sue+Foley"">Read more on Last.fm</a>",Canada
Ellis Hall,5471,24534,"Ellis Hall Jr. (born May 10, 1951 in Savannah, Georgia) known professionally as Ellis Hall is an American singer-songwriter, multi-instrumentalist, actor and composer. He was described as ""The Ambassador of Soul"" by conductor, Jeff Tyzik. Hall has been blind since the age of 18. Citing Ray Charles as his inspiration, Hall has written over 4000 soul, gospel, blues and pop songs,[1] and has performed with Stevie Wonder, James Taylor, Natalie Cole, Patti LaBelle <a href=""https://www.last.fm/music/Ellis+Hall"">Read more on Last.fm</a>",United States
The Limp Twins,136255,998008,"The Limp Twins are Will Holland (a.k.a quantic) and Russell Porter, who created their album tales from beyond the groove (TRUCD057, 2003) in their bedrooms (according to the cd cover). The record is a funky offering somewhere in between the sound of Will Holland's other projects, quantic and the quantic soul orchestra, but is definately more laid back. 

For more information on this project, check out quantic's website: about The Limp Twins. <a href=""https://www.last.fm/music/The+Limp+Twins"">Read more on Last.fm</a>",Unknown
Jimmy Thackery And The Drivers,17489,124417,"Known for his gritty, blue-collar approach and marathon live shows, Thackery was for many years part of The Nighthawks. The Nighthawks were known as one of the hardest-working blues bar bands in North America.[citation needed] Since the late 1980s, Thackery has been touring under his own name, and has found a wide audience. His hard-edged, tough-as-nails approach to guitar playing and his trio's driving rhythm section holds appeal for fans of both traditional blues and roots rock. <a href=""https://www.last.fm/music/Jimmy+Thackery+And+The+Drivers"">Read more on Last.fm</a>",Unknown
The Holmes Brothers,34197,197057,"The Holmes Brothers were an American musical trio originally from Christchurch, Virginia.
Mixing sounds from blues, soul, gospel, country, and rhythm & blues, they have released twelve studio albums, with three reaching the top 5 on the Billboard Blues Albums chart. They have gained a following by playing regularly at summer folk, blues, gospel, and jazz festivals. They have recorded with Van Morrison, Peter Gabriel, Odetta, Phoebe Snow, Willie Nelson <a href=""https://www.last.fm/music/The+Holmes+Brothers"">Read more on Last.fm</a>",United States
The Rolling Stones,5674210,264639939,"The Rolling Stones is an English rock band formed in London in 1962. Active for six decades, they are one of the most popular and enduring bands of the rock era. In the early 1960s, the Rolling Stones pioneered the gritty, rhythmically driven sound that came to define hard rock. Their first stable line-up consisted of vocalist Mick Jagger, multi-instrumentalist Brian Jones, guitarist Keith Richards, bassist Bill Wyman, and drummer Charlie Watts. During their formative years <a href=""https://www.last.fm/music/The+Rolling+Stones"">Read more on Last.fm</a>",Unknown
Jimmy Smith,426313,3706936,"Jimmy Smith (1925–2005) was a jazz musician whose instrument was the Hammond B-3 electric organ.

Born James Oscar Smith on 8th December 1925 in Norristown, Pennsylvania, USA. Smith was influenced by both gospel and blues. He first achieved prominence in the 1950s where his recordings became popular on jukeboxes before there were commonly used terms to describe his unique musical flavor. In the sixties and seventies he helped create the jazz style known as soul jazz. <a href=""https://www.last.fm/music/Jimmy+Smith"">Read more on Last.fm</a>",Unknown
Elvis Presley,4315393,144903841,"Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer and actor. Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".

Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old. His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience. <a href=""https://www.last.fm/music/Elvis+Presley"">Read more on Last.fm</a>",United States
