artista,oyentes,reproducciones,bio_resumen,pais
Oscar G & Ralph Falcon,5757,24033,biografia no encontrada,
Enigma,1378807,51184245,"There is more than one artist with the name Enigma:

1)  Enigma is a German electronic musical project founded by Michael Cretu (Romanian musician), David Fairstein and Frank Peterson in 1990. Cretu, who based his recording studio A.R.T. Studios in Ibiza, Spain in the early 1990s is both the composer and the producer of the project. His former wife Sandra often provided vocals on Enigma tracks. Jens Gad co-produced and played guitar on three of the Enigma albums.  <a href=""https://www.last.fm/music/Enigma"">Read more on Last.fm</a>",Germany
Jan Wayne,185108,1274461,"Jan Wayne (German pronunciation: [ˌjan ˈvɛɪn] (born Jan Christiansen, January 1974, Husum, Schleswig-Holstein) is a German electronic dance music DJ and producer.

Discography
Albums
2002 - Back Again
2003 - Gonna Move Ya

Singles
2001 - ""Total Eclipse of the Heart"" - UK #28 (in 2003)
2002 - ""Because the Night"" - UK #14
2002 - ""Only You"" (Cover of Yazoo's song)
2002 - ""More Than a Feeling""
2003 - ""Love Is a Soldier""
2003 - ""1,2,3 (Keep the Spirit Alive)"" <a href=""https://www.last.fm/music/Jan+Wayne"">Read more on Last.fm</a>",Germany
TM Juke,292266,2736136,"TM Juke, real name Al Cowan, aka Artist Formerly Known As Al Stylus and The Man Juke, is a producer from Brighton, UK, signed to Tru Thoughts. Merging his training in classical and jazz guitar with digitised sampling and first class guest vocalists, TM Juke's music draws on funk, soul, hip-hop and jazz influences.

TM Juke produced Alice Russell's second solo album, My favourite Letters.
He has also released two solo albums on Tru Thoughts: Maps From the Wilderness and in 2006 Forward a more dancefloor based affair. <a href=""https://www.last.fm/music/TM+Juke"">Read more on Last.fm</a>",
Aya,164581,1761488,"There are multiple artists that have recorded under the name Aya.

1. Aya (full name: Aya Sinclair) is a British electronic artist who until late 2019 recorded as Loft. She runs the label called YCO alongside BFTT. 

2. Aya is the stage name of Lysa Aya Trenier who released the album Strange Flower in 2004.

3. AYA is a British minimal pop sister duo produced by Andrew Barlow of Lamb. They released five singles in 2017 and 2018, one of which was Heal Me Now. <a href=""https://www.last.fm/music/Aya"">Read more on Last.fm</a>",United Kingdom
Ian Brown,600348,10613854,"Ian Brown (born February 20th 1963 in Warrington, England) was the lead singer in former British band The Stone Roses and following their split in 1996 has gone on to have a successful solo career releasing a total of six studio albums, with one greatest hits compilation, and remixes disc. He is considered to be an influential artist with followers such as Oasis, The Verve, Blur, Kasabian, Arctic Monkeys and many more. He has had twelve UK top 40 singles and has sold over 9 million albums as a solo artist. <a href=""https://www.last.fm/music/Ian+Brown"">Read more on Last.fm</a>",United Kingdom
Labelle,265715,1175389,"LaBelle is an American R&B/soul group from Philadelphia, Pennsylvania, USA, who successfully melded dance music with funk and glam rock. Mostly active in the 60s and 70s disband but reformed in 2005. Their most recognised song is ""Lady Marmalade"". The group was led by Patti LaBelle, who later had a successful solo career. Nona Hendryx, Sarah Dash and Cindy Birdsong rounded out the group, with Hendryx especially notable as a prolific songwriter.

In 1961 <a href=""https://www.last.fm/music/Labelle"">Read more on Last.fm</a>",United States
DJ Krush,683620,15231978,"DJ Krush (Hideaki Ishi) was born in 1962 in Tokyo. Gifted producer & DJ with a superb sense in mixing and composing his sound who's been greatly received in the international club scene. At an early age, Ishii dropped out of school, and joined a local gang, and a few years later, Yakuza. It was the movie ""Wild Style"" that got him into hip hop in the early 80's, and in 1987, he formed Krush Posse which made numerous appearances in various media as the best hip hop act in Japan. <a href=""https://www.last.fm/music/DJ+Krush"">Read more on Last.fm</a>",
Gas,246741,6982349,"Several artists have released recordings under the name of Gas: two electronic music composers, Wolfgang Voigt and Mat Jarvis, furthermore a Japanese hardcore band, a rock band from Germany, and lastly an industrial band from Sweden.

1) GAS is the project of Wolfgang Voigt of Kompakt Records, Cologne, who created hypnotic, bass-driven ambient/minimal techno on the German label Mille Plateaux.  Says Voigt of his music:  '(This is) music without beginning and without end <a href=""https://www.last.fm/music/Gas"">Read more on Last.fm</a>",Germany
Povo,71248,667504,"Povo (meaning ""people"" in Portuguese) is a Danish jazz duo consisting of Anders Andreasen and Lars Vissing. Anders and Lars bring together the best of both worlds with Anders' experience as a club promoter and DJ and Lars' musical talent. Both are jazz afficionados with unique ear for extraordinary music. Their debut album ""We Are Povo"" features their successful take on the classic ""Uam Uam"". The follow-up album ""The Yellow of the Sun in You"", featuring for example legendary Andy Bey <a href=""https://www.last.fm/music/Povo"">Read more on Last.fm</a>",
