,artista,oyentes,reproducciones,bio_resumen,pais
0,Patricio Rey y sus Redonditos de Ricota,98653,10286980,"Patricio Rey y sus Redonditos de Ricota was a rock band originally from La Plata, Argentina in 1976. Their tours in the 1980s, 1990s and 2000s drew a cult-like following that mirrored Grateful Dead frenzy in the United States. 

The band's strength lies in the semantic power of its lyrics, which discuss different topics such as politics, drugs and women, but always from a philosophical and existential point of view. The band represented a counter-cultural paradigm, reinforced and supported by its truly independent production nature.  <a href=""https://www.last.fm/music/Patricio+Rey+y+sus+Redonditos+de+Ricota"">Read more on Last.fm</a>",
1,Hombres G,493105,9600712,"Spanish pop/rock foursome Hombres G was formed by ex-los Residuos guitarist Daniel Mezquita, drummer Javier Molina, and singer/bassist David Summers, soon joined by guitarist Rafael Gutierrez. The band's name was based on an American movie called G-Men. Hombres G made its live debut at Madrid's Rockola, recording a demo called Milagro En El Congo in 1984. They soon signed up to the independent label Twins to make their debut album, featuring a catchy song called ""Devuelveme A Mi Chica,"" which became their first hit. <a href=""https://www.last.fm/music/Hombres+G"">Read more on Last.fm</a>",United States
2,Airbag,170445,7705481,"There are  at least 9 bands with the same name:

1. Airbag,  from Norway
2. Airbag, from Spain
3. Airbag, from Argentina
4. Airbag, from South Korea.
5. Airbag, from Bulgaria
6. Airbag, from the Netherlands
7. Airbag, from China
8. Airbag, from Japan
9. Airbag, from Czech Republic

1 .Airbag is a five member progressive rock group from Norway. The line up (from 2010) is Anders Hovdan - Bass, Asle Tostrup - Vocals, guitar, Bjørn Riis - Guitar, vocals, Henrik Fossum - Drums and Jørgen Hagen - Keyboards. <a href=""https://www.last.fm/music/Airbag"">Read more on Last.fm</a>",
3,Thousand Foot Krutch,1138544,37218183,"Thousand Foot Krutch (often abbreviated TFK) is a Canadian Christian rock band from Peterborough, Ontario, Canada. They made their debut in 1995 when Trevor McNevan, Joel Bruyere, and Steve Augustine started putting a praise & worship spin on the nu-metal sound of the time. After building a buzz around Ontario with numerous shows and a strong demo titled That's What People Do, Thousand Foot Krutch signed with Diamante and issued their debut LP, Set It Off, in 2000. <a href=""https://www.last.fm/music/Thousand+Foot+Krutch"">Read more on Last.fm</a>",Canada
4,Three Days Grace,3710774,172257837,"Three Days Grace is a Canadian rock band, formed under the name Groundswell in Norwood, Ontario, Canada in 1992. After a breakup in 1995, the band reformed in 1997 under its current name and with a line-up consisting of guitarist and lead vocalist Adam Gontier, drummer and backing vocalist Neil Sanderson, and bassist Brad Walst. In 2003, Barry Stock was recruited as the band's lead guitarist. The band has released seven studio albums, with a record fourteen #1 hits on Mainstream Rock. <a href=""https://www.last.fm/music/Three+Days+Grace"">Read more on Last.fm</a>",Canada
5,Modest Mouse,3338417,198122770,"Modest Mouse is an American alternative rock band which formed in 1993 in Issaquah, Washington, United States. The band's original lineup consisted of guitarist Isaac Brock, drummer Jeremiah Green and bassist Eric Judy. Since being signed to Sony's Epic Records in 2000, Modest Mouse has attained significant popular success with songs such as ""Float On"" and ""Dashboard.""

The band's current configuration is Isaac Brock (vocals, guitar), Tom Peloso (strings, horns, bass, keyboards), Jim Fairchild (guitar), and Eric Judy (bass)). <a href=""https://www.last.fm/music/Modest+Mouse"">Read more on Last.fm</a>",United States
6,The The,679853,10427433,"The The are an English post-punk band. They have been active in various forms since 1979, with singer-songwriter Matt Johnson being the only constant band member. The The achieved critical acclaim and commercial success in the UK, with 15 chart singles (seven reaching the top 40), and their most successful album, Infected (1986), spent 30 weeks on the chart. They followed this with the top ten albums Mind Bomb (1989) and Dusk (1993).

Early years (1977–1981) <a href=""https://www.last.fm/music/The+The"">Read more on Last.fm</a>",
7,Os Paralamas Do Sucesso,478170,12542860,"Three young guys who had in common their love for rock, reggae and ska - Herbert Vianna, Bi Ribeiro and João Barone - formed the group Paralamas at the beginning of the 80’s inspired by the sonority of groups as The Police, The Beat and The Specials, that used to recycle the rhythms created in Jamaica. 

Stimulated by the talent and the interest in the rising phenomenon of the Brazilian Rock, soon they had recorded their first LP “Cinema Mudo” <a href=""https://www.last.fm/music/Os+Paralamas+Do+Sucesso"">Read more on Last.fm</a>",Brazil
8,Velvet Revolver,1155293,20375976,"Velvet Revolver was an American hard rock supergroup consisting of Guns N'Roses members Slash (lead guitar), Duff McKagan (bass, backing vocals) and Matt Sorum (drums, backing vocals), alongside Dave Kushner (rhythm guitar) formerly of punk band Wasted Youth, and Scott Weiland (lead vocalist) formerly of Stone Temple Pilots. The band formed in 2002 and was active until 2008, when Weiland left the band abruptly to rejoin Stone Temple Pilots.

In 2004, the band achieved commercial success with their debut album, Contraband. <a href=""https://www.last.fm/music/Velvet+Revolver"">Read more on Last.fm</a>",United States
9,Ozzy Osbourne,3003780,90643775,"Ozzy Osbourne (born John Michael Osbourne in Marston Green, Warwickshire, on 3 December 1948; died 22 July 2025) was an English singer, songwriter, and media personality remembered as the lead vocalist of the heavy metal band Black Sabbath, during which period he adopted the nickname ""Prince of Darkness"". On 5 July 2025, Osbourne performed his final show at the ""Back to the Beginning"" concert event. 

He was inducted into the Rock and Roll Hall of Fame as a member of Black Sabbath in 2006 and as a solo artist in 2024. <a href=""https://www.last.fm/music/Ozzy+Osbourne"">Read more on Last.fm</a>",
