Artista,Género,Tipo,Nombre,Año,ID
La Oreja de Van Gogh,latin pop,track,Pop,2000,4FXSEdmbbeGmPIQltH27C8
Thalia,latin pop,track,Entre El Mar Y Una Estrella,2000,2KNtKG2X0jpOIgVunVbAkQ
Ricky Martin,latin pop,track,She Bangs - Spanish Version,2000,4ti5pZ0zs1PDf1eQswskFB
Rodrigo,latin pop,track,Amor Clasificado,2000,5MK642wCaNr9hRDZ3kWyDX
Rodrigo,latin pop,track,Soy Cordobes,2000,5wG4J1UECH0c42YhMhSkcS
Ana Torroja,latin pop,track,Duende,2000,3WX2KhnJq3QdRTfPgHWgZU
Paulina Rubio,latin pop,track,Tal Vez Quizas,2000,4Ft4AbNwk1acKagaBOmvHb
Alejandro Sanz,latin pop,track,Hicimos un trato,2000,6AF3xHHs3tmL7JN8lkNkgR
Alejandro Sanz,latin pop,track,El alma al aire - Maqueta,2000,0J1X8DvOXj0GD07UN3kyci
Alejandro Sanz,latin pop,track,Cuando nadie me ve - Maqueta,2000,7IxcEDXDSefpahEg6zmDs5
Celia Cruz,latin pop,track,Celia's Oye Como Va (Oye Como Va),2000,7fhCXXF7V5jsU06bOgVBqJ
Monica Naranjo,latin pop,track,Enamorada,2000,3W5v2CXAqEr6aa70MMNVYK
Chayanne,latin pop,track,Candela,2000,6aZVaIudGaHm88ydUe9k4i
Thalia,latin pop,track,Regresa A Mi,2000,36GbwUTkCSQ18aysIFYEPF
Los Tucanes De Tijuana,latin pop,track,Mis Tres Viejas,2000,1yxJIFPhP2EqnQ6oWJKbmP
Rodrigo,latin pop,track,Como Le Digo,2000,4nH1lpWkgzQPpTYPPjWKaI
Marcela Morelo,latin pop,track,Luna Bonita,2000,5Yc1D1bZ0mLDsWMd047pwT
Laura Pausini,latin pop,track,Un error de los grandes,2000,0cZRvN0JNRbkmhJK90x4cH
Juanes,latin pop,track,Fijate Bien,2000,3wE4fvPhhScUAhY37TDc1D
Chayanne,latin pop,track,Salomé,2000,4l8i9h5PNoJte95Es3HftJ
Alejandro Sanz,latin pop,track,Me iré,2000,42t0ZnBaS3dYFcs3xyQF2Y
Armando Manzanero,latin pop,track,Esperaré (feat. Café Quijano),2000,4RclcYWxQMRsdmT25OK9ic
Rodrigo,latin pop,track,Fuego y Pasion,2000,0SBHkYiZh8ih1RHoOcDtHl
Chayanne,latin pop,track,Mariana Mambo,2000,3ppKW2voPfRuCtdWhF1R9z
Rodrigo,latin pop,track,Que Ironia,2000,0E9YlthbJZ6WOPKi3LTBJc
Donato Y Estefano,latin pop,track,Sin Ti,2000,3c9KuwSygZBPj6gbXLxRc7
Celia Cruz,latin pop,track,Rie y Llora,2000,63knvuoSPpfzIwdDuWRSoV
Paulina Rubio,latin pop,track,Lo Haré Por Ti,2000,2j0vCRV8XySsYHDYasQwbi
Chayanne,latin pop,track,Boom Boom,2000,4zkOTmiamebLJ39Sqbp7sb
Thalia,latin pop,track,Arrasando,2000,1EhDeCHd34jt7dMDqkGQBC
Alejandro Sanz,latin pop,track,Hay un universo de pequeñas cosas,2000,5JA04DokXsoCNcVPI9NRmD
La Retrocumbia,latin pop,track,Popurri - La Negra Salome - Juana la Cubana,2000,3MqI7CgT8Y57MbbcvbT5pX
Alejandro Sanz,latin pop,track,Para que me quieras,2000,3QYWYwpcCdf5f5DQW52oaz
Paulina Rubio,latin pop,track,El Ultimo Adios,2000,7lnun6viJADQCvZnE0w9q8
La Oreja de Van Gogh,latin pop,track,Tu Pelo,2000,36wsPM9GCrgt9pxS95PYr2
Ana Torroja,latin pop,track,Corazones,2000,6cbvo1vIHJZfIXrGxOzza9
La Oreja de Van Gogh,latin pop,track,Tantas Cosas Que Contar,2000,09oZXunRcHWgNc4jYxDeue
Chayanne,latin pop,track,Yo Te Amo,2000,2sKo5u6IppUEudIz265wYa
La Oreja de Van Gogh,latin pop,track,La Chica del Gorro Azul,2000,3MtGBLot4sqvpT0cDyWTC8
La Oreja de Van Gogh,latin pop,track,Mariposa,2000,50CFzmM2N9wxobKcURrZdw
La Oreja de Van Gogh,latin pop,track,Dicen Que Dicen,2000,69sZqRBNGrcRHZBFkvlRGW
La Oreja de Van Gogh,latin pop,track,La Playa,2000,2DNyZP4Py6f4zMASLBnIu6
La Oreja de Van Gogh,latin pop,track,Soledad,2000,4NLpfB52hwDPLn7bphgjgD
Alejandro Sanz,latin pop,track,El alma al aire,2000,0Bs7Y5vCIzuvFTS9SLBPn8
La Oreja de Van Gogh,latin pop,track,Cuídate,2000,7gqIqyeCaV2xNtfZWxEphD
La Oreja de Van Gogh,latin pop,track,Paris,2000,5ByvJeBlrYISiwy7AVEAmP
Paulina Rubio,latin pop,track,Yo No Soy Esa Mujer,2000,0JAGODD5w6MeYQzA9lV6Zm
Alejandro Sanz,latin pop,track,Quisiera ser,2000,2MnNZIetVS8IVfy9PtpLeb
Alejandro Sanz,latin pop,track,Cuando nadie me ve,2000,7sNpt6AvOvXXZVaqTCFVCu
Paulina Rubio,latin pop,track,Y Yo Sigo Aqui - Spanglish,2000,2Ma2f8jV8VKMJoAcnCvZ8h
El Cuarteto De Nos,latin pop,track,La Pequeña Leti,2000,1NisqP9RbbUN7IR3rw83EE
Los Tucanes De Tijuana,latin pop,track,Gripa Colombiana,2000,33Kxt0fCaltxIuIOzM7hfs
Paulina Rubio,latin pop,track,Sexi Dance,2000,2HUMe9s1Sn8ZrpsbmDjEAH
Ricardo Arjona,latin pop,track,Sólo Quería un Café,2000,2kWYn9WboACIhmjQWRwMMX
Banda XXI,latin pop,track,Quiero Saber De Ti,2000,68mzTYsp45l51K37Tv3V8r
El Cuarteto De Nos,latin pop,track,Cristo Te Odia,2000,6nGheW6QepWxeMuwkPLDfS
Rodrigo,latin pop,track,El Viaje,2000,6yBiLjtUHxkO5OJFuSRIeK
Beto Quintanilla,latin pop,track,Escolta Suicida,2000,4P26HKA1ijPe4o7NQqkHlP
Celia Cruz,latin pop,track,Celia's Oye Como Va (Oye Como Va),2000,21pnPg1UFfvVpLInYio1sR
