,Artista,Género,Tipo,Nombre,Año,ID
0,Los Rabanes,reggae,track,Señorita a Mi Me Gusta Su Style,2000,2jvsbpAxcBkFp6VScarkzT
1,Shaggy,reggae,track,"Luv Me, Luv Me",2000,7hV4x7PMKGC4qD3NWLt2UJ
2,Sean Paul,reggae,track,Infiltrate,2000,0ru8bc0XnKjUL2O1Fl1k7a
3,Ganja,reggae,track,Caminando,2000,5hirK8wva1Nh38fVwWdLlc
4,Sean Paul,reggae,track,Deport Them,2000,5KhypMVGqMI9mgsrrv2lxc
5,UB40,reggae,track,Here I Am (Come And Take Me),2000,6YR2MkzMhojHBmW1TbXtZO
6,Maskavo,reggae,track,Um Anjo do Céu,2000,2YgAAAq8h7nPIMVLVVSHtK
7,Capleton,reggae,track,Jah Jah City,2000,1QwrhGl2I3D0aNdRQ5YFtm
8,Los Cafres,reggae,track,De Mi Mente,2000,1b8V0hvwAP8dO4xxrvvoXK
9,Ska-P,reggae,track,Como Me Pongo,2000,6SJ6OfGVsFaO2R1eUdZFeB
10,UB40,reggae,track,If It Happens Again,2000,4snAWp4mA5DFa2plpH6ch7
11,Culture,reggae,track,Humble African,2000,0Vzgfs70Aavn0nKDMmJCG8
12,Ska-P,reggae,track,Violencia Machista,2000,2ajDO2C9UGwKJrU2uIWoLE
13,Ska-P,reggae,track,ETTs,2000,5fSS4Ohnt5GHIVY6Ypi3rH
14,UB40,reggae,track,Kingston Town,2000,1YGh2uqJYfSpFQ3DDnMJV5
15,Gondwana,reggae,track,"Verde, Amarillo Y Rojo",2000,4Q0y0SOAJ84PvR2Uu6tGXv
16,UB40,reggae,track,I Got You Babe,2000,3UNa2iZNHZ8cDvzXSNVrUZ
17,UB40,reggae,track,(I Can't Help) Falling In Love With You,2000,7aR1QwbQa26sjDXiVMLik4
18,UB40,reggae,track,The Way You Do The Things You Do,2000,42HaJ7QlInzQ5vHKWb5Ixa
19,UB40,reggae,track,Tell Me Is It True,2000,2VAIOwbPEFlIA0DpFo4RwA
20,UB40,reggae,track,Light My Fire,2000,2pcEb3qZ85Zdegn1cowQNu
21,Ska-P,reggae,track,Lucrecia,2000,1MKZIXBpF3K4FzXthCuzyQ
22,Gondwana,reggae,track,Dulce Amor (Sólo Un Latido),2000,23d6sogOKvZOx7XtSEeNVs
23,Ska-P,reggae,track,La Mosca Cojonera,2000,3wms72Uwbi40KXE3moX3cf
24,Goldfinger,reggae,track,99 Red Balloons,2000,0rOTMSSa6yscfOrGnzfheM
25,Ska-P,reggae,track,Naval Xixon,2000,13ZYIzN5q2xJ04VCWcN6zg
26,Culture,reggae,track,Why Am I A Rastaman?,2000,41r3Hd6pRHg4YKA6cACcDQ
27,Ska-P,reggae,track,A la Mierda,2000,4GERduHBPVmh9ECjBtEPA4
28,Ska-P,reggae,track,Mestizaje,2000,2FtUCcJTBE2bb0mdZtzlFI
29,Gondwana,reggae,track,Antonia,2000,51LZ2XHdETvNLQ6SKqTjWF
30,UB40,reggae,track,Rat In Mi Kitchen,2000,2ojhyfZMmaXQFqA1YLofwo
31,Los Cafres,reggae,track,Aire,2000,2hkJ7fYPM5V27pjxiPG2gg
32,UB40,reggae,track,King,2000,2f4J3ZsIqKHDzTVWKaagte
33,UB40,reggae,track,Bring Me Your Cup - Edit,2000,2xzpFiJhL9E8fRwdI7PPHI
34,UB40,reggae,track,Watchdogs,2000,3n83MHEFQnZa5VNJzxIrzk
35,Ska-P,reggae,track,Derecho De Admision,2000,5fXxNenB01Y2BjqRlwJSnO
36,UB40,reggae,track,Higher Ground,2000,62GbYylTNfRNZnA4HbGaNP
37,UB40,reggae,track,I Got You Babe,2000,1dm4aH91JXQpQ0aYWp7xoQ
38,Ska-P,reggae,track,Eres Un@ Mas,2000,0awiprd9BQ4vXukC5aD6Nw
39,Ska-P,reggae,track,Planeta Eskoria,2000,1gU2mB0VSVvEe97g50QpYo
40,UB40,reggae,track,Kingston Town,2000,6MTLpOuPg9qfbiJpUXB5qh
41,UB40,reggae,track,Red Red Wine,2000,3dRmLxr7tXNsHWYJubwF6G
42,Ska-P,reggae,track,Tio Sam,2000,3Re4NbN9tBTh7lwVDgcZ5V
43,UB40,reggae,track,Bring Me Your Cup - Edit,2000,0ffQpiShZZKtDN06L84FCJ
44,King Chango,reggae,track,Sin Ti,2000,3SPoI7e9GoO1gSOYXi0Fxo
45,Ska-P,reggae,track,Vergüenza,2000,2wOfJd9azprQrbE6uTJD6u
46,The Specials,reggae,track,Ghost Town,2000,6ewN9MaFbi78oDLT9wYDgn
47,UB40,reggae,track,(I Can't Help) Falling In Love With You,2000,18YJrsXwyJL7dqCtikZ3PU
48,UB40,reggae,track,Red Red Wine,2000,4uOKFydzAejjSFqYbv1XPt
49,Shaggy,reggae,track,Angel,2000,7FDV5ELOJHCGLe52AnttEd
50,Shaggy,reggae,track,Keep'n It Real,2000,7cvop8FcQdqP6qfVmQLkdD
51,Banda Beijo,reggae,track,Bate Lata,2000,2ATL6pmlSKBxn9M2U9Qp4t
52,Shaggy,reggae,track,Why Me Lord,2000,7JWIfIICkit2pXeLbdxiZF
53,Capleton,reggae,track,Who Dem,2000,1dDHDZWp1j4fkCdGRnopKq
54,Shaggy,reggae,track,Hope,2000,5whIG7u2VjyILwGqm9dkDD
55,Beenie Man,reggae,track,Girls Dem Sugar,2000,3j8EEMm9kbPLqByuaHmUmQ
56,Ara Ketu,reggae,track,Amantes,2000,6EbbpFc64M1VBp7E29qnQv
57,Beenie Man,reggae,track,Dancehall Queen (feat. Chevelle Franklyn),2000,6LGTXFy9KNQeBjUHT9fPFh
58,UB40,reggae,track,Don't Break My Heart,2000,0YUwrzyUcS5wIYUWkXCAbl
59,UB40,reggae,track,One In Ten,2000,1dKfteL9OIYuFOCwBzV0SB
60,UB40,reggae,track,Cherry Oh Baby,2000,7zbuCaBemBX0dMnqSTztl1
61,UB40,reggae,track,Rat In Mi Kitchen,2000,0o7tBKZHvWPJB17wQx1Q8w
62,Bob Marley & The Wailers,reggae,track,Mr. Brown,2000,0zGXPikeXaT7NHTIBhQM7T
63,Barry Biggs,reggae,track,Love Come Down,2000,4VHtdJ0ekkxK9OG5SEwHZ9
64,Los Cafres,reggae,track,Sin Gamulán,2000,1ccEBfPmipV4R41R6Y3ouy
65,Los Pericos,reggae,track,Runaway - Live,2000,5blxpfx1eNYeA9y7jDUTT6
66,UB40,reggae,track,The Earth Dies Screaming - Edit,2000,5hHBRGPaCPL3GnLWRStRoh
67,UB40,reggae,track,Until My Dying Day,2000,2y9WjMBxurTYQPxCPGXLgl
68,UB40,reggae,track,Food For Thought,2000,7xLFoBLKymnhIaaSBS9vpv
69,Jackie Mittoo,reggae,track,Totally Together,2000,26g0RB8H1F8GVCyC27zG6I
70,Los Pericos,reggae,track,Eso Es Real - Live,2000,44wRvFEiNuKlWp4DmBJSyZ
71,The Specials,reggae,track,Do Nothing,2000,10mO8USTvhC0rMMvRPPZWg
72,Prince Buster,reggae,track,Don't Throw Stones,2000,6dzAIxWJ7MhwH4iGmjGxgn
73,10 Ft. Ganja Plant,reggae,track,Walkey Walk Tall,2000,49X280IOWye1tFuIvsD5sS
74,Cutty Ranks,reggae,track,Limb By Limb,2000,6lZpBmEGZDVTpxjJZ5slAN
75,Bob Marley & The Wailers,reggae,track,Small Axe,2000,2GtNJwcRdlBH7ulwl4yFyx
76,Jackie Mittoo,reggae,track,Summer Breeze,2000,5Yu5gDFUjPqxUT5PHEJdIR
77,Terra Samba,reggae,track,Latinha De Cerveja,2000,18x3R1DdtcFPJ0mckjildc
78,Seeed,reggae,track,Riddim No 1,2000,1ooatRQWNtl4jB7hQoanFz
79,Seeed,reggae,track,Papa Noah,2000,2cxfEfp2dU4QtypUYcZl2j
80,Los Pericos,reggae,track,Ocho Ríos - Live,2000,4ZaDJD9pWqgxW4kxzQrIjY
81,Los Pericos,reggae,track,Nada Que Perder - Live,2000,1XkBIrIQN5NoREiSyaTAmI
82,Jackie Mittoo,reggae,track,Get Up and Get It,2000,5AVhTKB8qBi7PUNFoXYnQ9
83,Los Pericos,reggae,track,Boulevard - Live,2000,0a7DgM90xUXYZCgArsEIuA
84,Jennifer Lara,reggae,track,I'm In Love,2000,7LCD89We5JZALirKxgsGXM
85,Gondwana,reggae,track,Alabanza,2000,1z7SPFBf9NlA4F2c6AvVQ7
86,Giuliano Palma & The BlueBeaters,reggae,track,Wonderful Life - Remastered 2023,2000,3PSAE8fUwoRNPrUAnnluxt
87,The Specials,reggae,track,Stereotype,2000,22Vftb3jOTa8IPZwQI1L61
88,Chaka Demus & Pliers,reggae,track,Bam Bam,2000,07IMOzCQZJPrwSSDmlo2vv
89,UB40,reggae,track,Higher Ground,2000,3aggzBl59puBLxg6ktaqie
90,Brother Culture,reggae,track,Foundation Rockers Dub (Disciples Dub Mix),2000,1hjlTHxIn3cmFAlX17Yi5y
91,Culture,reggae,track,Revolution,2000,7vbTbQhjxoiqiV4qxL1DaN
92,Los Pericos,reggae,track,Pupilas Lejanas - Live,2000,3BR0n4G5syIoloE9DEm9bv
93,The Specials,reggae,track,Racist Friend - Edit,2000,1XGurZjVkgciMcr0phDFVw
94,Los Rabanes,reggae,track,Perfidia,2000,6P187fxZ0btnCRTy5Xql2Y
95,Harry Belafonte,reggae,track,Jump in the Line,2000,6KkAC41nNRiWA6w3ZD9cJ8
96,UB40,reggae,track,Sing Our Own Song,2000,71P1uKwq0a4J4KUhwhy9qw
97,10 Ft. Ganja Plant,reggae,track,Chalwa,2000,7BLo3vat0B8BCQD50WOjum
98,Los Cafres,reggae,track,Waitin en Vano,2000,03eLaRGb1oZgmtGSrMuoty
99,Ska-P,reggae,track,El Autentico,2000,15pI474vmLftBU7FV8LZF7
100,Ara Ketu,reggae,track,Face Oculta,2000,5LTwjTZjxnpAe0o0h5RgY0
101,Jah Spirit,reggae,track,My Girl - Reggae Style,2000,69SJz5zBMWngc17HfmupHd
102,Los Pericos,reggae,track,No Me Pares - Live,2000,5jWxzXvb6ctowsZoWPp8at
103,Los Pericos,reggae,track,Sin Cadenas - Live,2000,10VPz4veMzaJx2avRqQyxW
104,Gondwana,reggae,track,Keep The Faith,2000,2Qq4l3G6w6WdfM1rKrEqBe
105,UB40,reggae,track,If It Happens Again,2000,1KhSlLDEGsVyz8MlJsO3ma
106,Jackie Mittoo,reggae,track,Juice Box,2000,54IDFxZC54Wba3EpAsB1fz
107,Los Pericos,reggae,track,Waitin' - Live,2000,0q7LR23IYycIYTUJuTrQiF
108,UB40,reggae,track,Light My Fire,2000,0Nqcp3idH9rXOLDg4zlXbd
109,Culture,reggae,track,Poverty,2000,0n0x4ZTL0Q8ywLyo8ayoHk
110,UB40,reggae,track,Food For Thought,2000,0GVAZ5OvagIPfAsuiIWCE8
111,Shaggy,reggae,track,Leave It To Me,2000,5L8MxayXG6D3FWUDDmBmzL
112,Wayne Wonder,reggae,track,Watching You,2000,0YfTOk4thT06YgPwLpCWHP
113,The Mighty Mighty Bosstones,reggae,track,So Sad To Say,2000,6aSvrNcJuoKOA9uwMXZI1D
114,Goldfinger,reggae,track,Counting The Days,2000,3M9ybg6UIG0Ude7uDihJRm
115,Capleton,reggae,track,Stand Tall,2000,6EpY2zBpain6kUYZqhfgRN
116,Freddie McGregor,reggae,track,I See It In You,2000,6u9q7kZAtPyTu2tO3mHXci
117,Jackie Mittoo,reggae,track,Oboe,2000,3R0EhRQKxplZ32K37xwqDU
118,Shaggy,reggae,track,Hey Love,2000,1tBB4wuK0gw2liPTms0bnX
119,Glen Washington,reggae,track,Strangers In The Night,2000,74NtKdZvxIPgZCWMSWPQjd
120,Rastrillos,reggae,track,La Musica,2000,1UWRoVKwatWvKCMFfn6Z6P
121,UB40,reggae,track,Sing Our Own Song,2000,266LLalLevmzLid2Vt8wxR
122,La Mosca,reggae,track,No Te Despiertes Mi Amor,2000,6xAVuRNW0h3eR5oUbtSHNq
123,Elephant Man,reggae,track,Punanny Medley,2000,5GEid99RgStd0cQIhAlGHQ
124,Los Pericos,reggae,track,Su Galán - Live,2000,2l78fiFKx1g1Goi6ftiWb6
125,Justin Hinds,reggae,track,Rub Up Push Up,2000,3Pw5U5rugikTmuKvVNJOly
